docId,filename,0 règne serait cabinet,1 déjà toute conseil,2 attendez oubliez épousez,3 exprès nation affaire,4 mieux prenez monsieur,5 dernière disais jamais,6 de à ne,7 corps kiril виконт,8 sacrifices descendre serai,9 général venez vienne
23,Война и мир. 10_21.txt,0.03536953716484402,0.04192861834905367,0.02650640495347743,0.02394876223243331,0.07542054201094407,0.03316381043264381,0.6079777664381135,0.04155837050316709,0.04368627008726786,0.07043991782805523
24,Война и мир. 10_22.txt,0.03536953716484402,0.028226814977685463,0.02650640495347743,0.02394876223243331,0.06171873863957587,0.03316381043264381,0.5942759630667453,0.0552601738745353,0.04368627008726786,0.09784352457079164
25,Война и мир. 10_23.txt,0.03586089611209298,0.02861894615053588,0.02687463593067667,0.024281462051025805,0.0625761446695767,0.033624527091304104,0.6025317344167328,0.04213570565699306,0.05818531723448365,0.08531063068657833
26,Война и мир. 10_24.txt,0.03353175510430005,0.02676016490673555,0.025129146458802147,0.022704397473067853,0.0585118662922624,0.044430501806250175,0.6153571650381565,0.039399020002757544,0.04141635507299223,0.0927596278446755
27,Война и мир. 10_25.txt,0.034891461223815576,0.027845284366476174,0.02614812843907593,0.023625056355611233,0.06088451104093113,0.03271554842099289,0.6267931763243385,0.040996642567816606,0.043095780181090844,0.0830044110798511
28,Война и мир. 10_26.txt,0.034891461223815576,0.027845284366476174,0.02614812843907593,0.023625056355611233,0.06088451104093113,0.04623214997561059,0.6132765747697209,0.040996642567816606,0.043095780181090844,0.0830044110798511
29,Война и мир. 10_27.txt,0.03636609945302187,0.029022125902762964,0.027253242081955946,0.038711397517842215,0.06345770873453209,0.03409822477500343,0.6110201180949189,0.042729307646295574,0.044917162340033796,0.07242461345363328
30,Война и мир. 10_28.txt,0.03586089611209298,0.04251109704182187,0.02687463593067667,0.024281462051025805,0.0625761446695767,0.033624527091304104,0.6025317344167328,0.05602785654827905,0.04429316634319766,0.07141847979529235
31,Война и мир. 10_29.txt,0.03586089611209298,0.02861894615053588,0.02687463593067667,0.024281462051025805,0.0625761446695767,0.033624527091304104,0.6303160361993048,0.04213570565699306,0.04429316634319766,0.07141847979529235
32,Война и мир. 10_3.txt,0.04315792633115713,0.024825301042492868,0.023312211563525767,0.021062781347638646,0.06633187845280568,0.02916735658477247,0.6190670413015991,0.036550317823395316,0.06252308646135842,0.07400209909125466
33,Война и мир. 10_30.txt,0.03586089611209298,0.02861894615053588,0.02687463593067667,0.024281462051025805,0.0625761446695767,0.033624527091304104,0.6303160361993048,0.04213570565699306,0.04429316634319766,0.07141847979529235
34,Война и мир. 10_31.txt,0.03636609945302187,0.029022125902762964,0.027253242081955946,0.024623535927609155,0.07754557032476514,0.03409822477500343,0.6110201180949189,0.042729307646295574,0.044917162340033796,0.07242461345363328
35,Война и мир. 10_32.txt,0.033973060576995305,0.027112350683675554,0.025459866691666062,0.023003206015237726,0.05928193057109512,0.031854421377955446,0.6497774161223616,0.03991754350658145,0.04196142836533706,0.06765877608909461
36,Война и мир. 10_33.txt,0.03536953716484402,0.028226814977685463,0.04020820832484564,0.02394876223243331,0.06171873863957587,0.03316381043264381,0.6079777664381135,0.04155837050316709,0.04368627008726786,0.08414172119942342
37,Война и мир. 10_34.txt,0.04214224369531446,0.03600810642150115,0.02276357981726251,0.020567087900432796,0.07653786419443302,0.02848092931323793,0.6162649065228507,0.03569013925821359,0.061051662353285685,0.06049348052346818
38,Война и мир. 10_35.txt,0.03636609945302187,0.029022125902762964,0.027253242081955946,0.024623535927609155,0.06345770873453209,0.03409822477500343,0.6110201180949189,0.042729307646295574,0.044917162340033796,0.08651247504386635
39,Война и мир. 10_36.txt,0.033973060576995305,0.027112350683675554,0.03862068906206033,0.023003206015237726,0.05928193057109512,0.05817606611874399,0.6102949490111789,0.03991754350658145,0.04196142836533706,0.06765877608909461
40,Война и мир. 10_37.txt,0.03586089611209298,0.02861894615053588,0.02687463593067667,0.024281462051025805,0.0625761446695767,0.033624527091304104,0.6164238853080188,0.04213570565699306,0.05818531723448365,0.07141847979529235
41,Война и мир. 10_38.txt,0.033973060576995305,0.027112350683675554,0.025459866691666062,0.023003206015237726,0.05928193057109512,0.031854421377955446,0.6497774161223616,0.03991754350658145,0.04196142836533706,0.06765877608909461
42,Война и мир. 10_39.txt,0.03636609945302187,0.04310998749299602,0.027253242081955946,0.024623535927609155,0.06345770873453209,0.03409822477500343,0.6110201180949189,0.042729307646295574,0.044917162340033796,0.07242461345363328
43,Война и мир. 10_4.txt,0.034891461223815576,0.027845284366476174,0.02614812843907593,0.023625056355611233,0.06088451104093113,0.03271554842099289,0.6132765747697209,0.040996642567816606,0.05661238173570856,0.0830044110798511
44,Война и мир. 10_40.txt,0.04117326818804365,0.03518017297216004,0.02224017742178958,0.020094189386165483,0.08627451800951695,0.03932255497536103,0.5791021697923401,0.05786249066964086,0.05964790307729159,0.05910255550769068
45,Война и мир. 10_41.txt,0.03636609945302187,0.029022125902762964,0.027253242081955946,0.024623535927609155,0.06345770873453209,0.03409822477500343,0.6251079796851519,0.042729307646295574,0.044917162340033796,0.07242461345363328
46,Война и мир. 10_42.txt,0.03227404849911399,0.025756446608830127,0.03668924644081556,0.021852802601883037,0.0563172075131845,0.03026136365116015,0.6172816780529468,0.03792124445712345,0.03986291347185893,0.10178304870308354
47,Война и мир. 10_43.txt,0.03227404849911399,0.025756446608830127,0.03668924644081556,0.03435544476176982,0.06881984967307128,0.03026136365116015,0.6047790358930599,0.03792124445712345,0.03986291347185893,0.08928040654319676
48,Война и мир. 10_44.txt,0.034891461223815576,0.027845284366476174,0.02614812843907593,0.023625056355611233,0.06088451104093113,0.03271554842099289,0.6403097778789563,0.040996642567816606,0.043095780181090844,0.06948780952523338
49,Война и мир. 10_45.txt,0.03536953716484402,0.028226814977685463,0.02650640495347743,0.02394876223243331,0.06171873863957587,0.03316381043264381,0.6216795698094817,0.04155837050316709,0.05738807345863607,0.07043991782805523
50,Война и мир. 10_46.txt,0.03148671425682657,0.03732574783173617,0.03579420223688283,0.021319697504179464,0.07933860739744994,0.029523129406345026,0.6144205594323141,0.03699614532454748,0.051088083576561444,0.06270711303315693
51,Война и мир. 10_47.txt,0.050453961043254926,0.029022125902762964,0.027253242081955946,0.024623535927609155,0.06345770873453209,0.03409822477500343,0.5969322565046857,0.042729307646295574,0.044917162340033796,0.08651247504386635
52,Война и мир. 10_48.txt,0.03586089611209298,0.02861894615053588,0.02687463593067667,0.024281462051025805,0.0625761446695767,0.033624527091304104,0.6025317344167328,0.05602785654827905,0.04429316634319766,0.08531063068657833
